iter	Passed	Remaining
428	17008	22637
429	17040	22588
430	17072	22538
431	17101	22484
432	17133	22436
433	17167	22389
434	17197	22336
435	17230	22288
436	17264	22242
437	17297	22194
438	17328	22143
439	17359	22093
440	17389	22042
441	17401	21968
442	17429	21914
443	17463	21868
444	17496	21821
445	17527	21771
446	17560	21724
447	17601	21687
448	17634	21641
449	17668	21594
450	17700	21546
451	17728	21493
452	17759	21445
453	17772	21374
454	17803	21324
455	17834	21276
456	17869	21232
457	17902	21185
458	17931	21135
459	17962	21086
460	17997	21042
461	18136	21119
462	18206	21116
463	18239	21069
464	18273	21024
465	18310	20982
466	18321	20910
467	18350	20860
468	18380	20810
469	18417	20768
470	18428	20698
471	18457	20647
472	18490	20601
473	18501	20530
474	18511	20459
475	18542	20412
476	18570	20361
477	18600	20313
478	18635	20269
479	18667	20223
480	18699	20176
481	18734	20133
482	18764	20085
483	18779	20020
484	18811	19974
485	18842	19928
486	18873	19880
487	18908	19838
488	18938	19791
489	18969	19744
490	18999	19696
491	19032	19651
492	19068	19609
493	19100	19564
494	19131	19517
495	19163	19472
496	19197	19429
497	19230	19384
498	19266	19344
499	19298	19298
500	19338	19261
501	19381	19227
502	19419	19188
503	19444	19135
504	19476	19091
505	19514	19052
506	19549	19009
507	19589	18972
508	19624	18930
509	19659	18888
510	19696	18848
511	19728	18804
512	19760	18758
513	19797	18718
514	19827	18672
515	19861	18629
516	19893	18585
517	19925	18540
518	19957	18496
519	19990	18452
520	20024	18410
521	20055	18365
522	20088	18321
523	20120	18277
524	20153	18233
525	20183	18188
526	20214	18143
527	20235	18089
528	20270	18048
529	20302	18004
530	20334	17960
531	20366	17916
532	20396	17871
533	20427	17825
534	20458	17782
535	20489	17737
536	20521	17693
537	20556	17652
538	20588	17609
539	20621	17566
540	20641	17512
541	20684	17478
542	20716	17435
543	20746	17390
544	20775	17344
545	20806	17301
546	20836	17255
547	20878	17220
548	20908	17176
549	20938	17131
550	20973	17090
551	21003	17046
552	21033	17002
553	21071	16963
554	21103	16921
555	21134	16877
556	21166	16834
557	21200	16793
558	21232	16750
559	21265	16708
560	21300	16668
561	21332	16625
562	21363	16582
563	21398	16542
564	21430	16499
565	21465	16459
566	21499	16418
567	21530	16375
568	21564	16334
569	21601	16295
570	21636	16255
571	21667	16212
572	21699	16170
573	21730	16127
574	21761	16084
575	21793	16042
576	21826	16001
577	21858	15958
578	21896	15921
579	21922	15875
580	21952	15831
581	21982	15788
582	22016	15747
583	22047	15704
584	22067	15654
585	22096	15611
586	22130	15570
587	22161	15527
588	22192	15485
589	22227	15445
590	22259	15404
591	22292	15363
592	22324	15322
593	22358	15281
594	22389	15240
595	22409	15190
596	22443	15150
597	22477	15110
598	22509	15068
599	22542	15028
600	22577	14988
601	22607	14946
602	22642	14907
603	22676	14867
604	22707	14825
605	22740	14784
606	22770	14742
607	22803	14702
608	22836	14662
609	22871	14622
610	22903	14581
611	22936	14541
612	22970	14501
613	23005	14462
614	23037	14421
615	23072	14382
616	23116	14349
617	23150	14309
618	23184	14270
619	23216	14229
620	23249	14189
621	23283	14149
622	23315	14109
623	23350	14070
624	23386	14031
625	23419	13991
626	23453	13952
627	23486	13912
628	23520	13872
629	23550	13831
630	23581	13790
631	23614	13750
632	23648	13710
633	23679	13669
634	23711	13629
635	23744	13589
636	23774	13548
637	23808	13508
638	23839	13468
639	23869	13426
640	23906	13389
641	23941	13350
642	23970	13308
643	23999	13266
644	24032	13226
645	24064	13186
646	24095	13146
647	24126	13105
648	24156	13064
649	24186	13023
650	24216	12982
651	24255	12946
652	24286	12905
653	24318	12865
654	24349	12825
655	24380	12784
656	24412	12744
657	24447	12706
658	24477	12665
659	24508	12625
660	24539	12585
661	24573	12546
662	24605	12506
663	24637	12466
664	24668	12426
665	24700	12387
666	24735	12349
667	24765	12308
668	24796	12268
669	24826	12227
670	24860	12189
671	24894	12150
672	24924	12110
673	24955	12070
674	24989	12031
675	25021	11992
676	25055	11954
677	25091	11916
678	25123	11877
679	25155	11837
680	25188	11798
681	25217	11758
682	25249	11719
683	25280	11679
684	25313	11640
685	25344	11600
686	25374	11560
687	25407	11522
688	25441	11483
689	25472	11444
690	25506	11405
691	25538	11366
692	25569	11327
693	25603	11288
694	25639	11251
695	25668	11211
696	25702	11173
697	25736	11135
698	25766	11095
699	25801	11057
700	25837	11020
701	25868	10981
702	25901	10942
703	25938	10905
704	25970	10867
705	26001	10827
706	26034	10789
707	26070	10752
708	26103	10713
709	26136	10675
710	26174	10638
711	26203	10599
712	26239	10561
713	26272	10523
714	26301	10483
715	26333	10444
716	26366	10406
717	26397	10367
718	26431	10329
719	26465	10292
720	26495	10252
721	26535	10217
722	26567	10178
723	26600	10140
724	26631	10101
725	26663	10062
726	26699	10026
727	26731	9987
728	26762	9948
729	26798	9911
730	26833	9874
731	26863	9835
732	26897	9797
733	26928	9758
734	26960	9720
735	26994	9682
736	27027	9644
737	27059	9606
738	27090	9567
739	27123	9529
740	27155	9491
741	27187	9453
742	27223	9416
743	27255	9378
744	27284	9339
745	27319	9301
746	27351	9263
747	27384	9225
748	27427	9191
749	27457	9152
750	27488	9114
751	27520	9076
752	27553	9038
753	27585	9000
754	27623	8963
755	27654	8925
756	27687	8887
757	27723	8850
758	27759	8814
759	27790	8776
760	27822	8737
761	27855	8700
762	27886	8661
763	27919	8624
764	27951	8586
765	27984	8548
766	28016	8511
767	28053	8474
768	28085	8436
769	28119	8399
770	28151	8361
771	28183	8323
772	28214	8285
773	28246	8247
774	28282	8210
775	28313	8173
776	28346	8135
777	28379	8098
778	28409	8059
779	28444	8022
780	28475	7984
781	28507	7947
782	28536	7908
783	28569	7871
784	28610	7835
785	28641	7798
786	28671	7759
787	28702	7721
788	28735	7684
789	28765	7646
790	28799	7609
791	28833	7572
792	28867	7535
793	28899	7497
794	28929	7459
795	28961	7422
796	28992	7384
797	29024	7347
798	29056	7309
799	29086	7271
800	29121	7234
801	29153	7197
802	29183	7159
803	29217	7122
804	29247	7084
805	29281	7047
806	29315	7010
807	29349	6974
808	29381	6936
809	29416	6900
810	29446	6862
811	29479	6825
812	29511	6788
813	29544	6750
814	29575	6713
815	29608	6676
816	29642	6639
817	29678	6603
818	29708	6565
819	29741	6528
820	29773	6491
821	29808	6454
822	29843	6418
823	29874	6380
824	29908	6344
825	29940	6307
826	29972	6269
827	30004	6232
828	30036	6195
829	30070	6159
830	30101	6121
831	30134	6084
832	30167	6047
833	30204	6011
834	30235	5974
835	30269	5937
836	30305	5901
837	30335	5864
838	30370	5827
839	30412	5792
840	30454	5757
841	30505	5724
842	30548	5689
843	30592	5654
844	30629	5618
845	30668	5582
846	30717	5548
847	30761	5513
848	30807	5479
849	30850	5444
850	30897	5409
851	30943	5375
852	30986	5339
853	31030	5305
854	31065	5268
855	31096	5231
856	31129	5194
857	31160	5157
858	31191	5119
859	31221	5082
860	31254	5045
861	31293	5009
862	31443	4991
863	31544	4965
864	31575	4927
865	31607	4890
866	31640	4853
867	31671	4816
868	31706	4779
869	31741	4743
870	31771	4705
871	31801	4668
872	31834	4631
873	31864	4593
874	31898	4556
875	31929	4519
876	31962	4482
877	31993	4445
878	32024	4408
879	32058	4371
880	32092	4334
881	32124	4297
882	32161	4261
883	32192	4224
884	32224	4187
885	32256	4150
886	32288	4113
887	32317	4076
888	32347	4038
889	32380	4002
890	32411	3964
891	32441	3927
892	32472	3890
893	32504	3854
894	32536	3817
895	32567	3780
896	32603	3743
897	32634	3706
898	32665	3669
899	32706	3634
900	32738	3597
901	32770	3560
902	32809	3524
903	32842	3487
904	32873	3450
905	32906	3414
906	32938	3377
907	32967	3340
908	33002	3303
909	33034	3267
910	33064	3230
911	33097	3193
912	33131	3157
913	33161	3120
914	33191	3083
915	33223	3046
916	33252	3009
917	33281	2972
918	33314	2936
919	33345	2899
920	33382	2863
921	33414	2826
922	33447	2790
923	33478	2753
924	33510	2717
925	33542	2680
926	33571	2643
927	33600	2606
928	33635	2570
929	33666	2534
930	33698	2497
931	33731	2461
932	33765	2424
933	33796	2388
934	33829	2351
935	33864	2315
936	33895	2278
937	33929	2242
938	33961	2206
939	33993	2169
940	34026	2133
941	34055	2096
942	34087	2060
943	34118	2023
944	34148	1987
945	34188	1951
946	34218	1915
947	34249	1878
948	34283	1842
949	34314	1806
950	34345	1769
951	34377	1733
952	34412	1697
953	34445	1660
954	34477	1624
955	34510	1588
956	34543	1552
957	34578	1515
958	34613	1479
959	34643	1443
960	34674	1407
961	34708	1371
962	34741	1334
963	34778	1298
964	34809	1262
965	34841	1226
966	34874	1190
967	34906	1153
968	34940	1117
969	34972	1081
970	35011	1045
971	35050	1009
972	35091	973
973	35124	937
974	35160	901
975	35197	865
976	35231	829
977	35269	793
978	35303	757
979	35338	721
980	35377	685
981	35419	649
982	35456	613
983	35493	577
984	35530	541
985	35568	505
986	35604	468
987	35638	432
988	35677	396
989	35712	360
990	35745	324
991	35783	288
992	35818	252
993	35854	216
994	35890	180
995	35926	144
996	35961	108
997	36003	72
998	36036	36
999	36069	0
