iter	RMSE
149	96070.40275
150	95960.90459
151	95799.19372
152	95606.76316
153	95436.82996
154	95317.15353
155	95123.46251
156	94987.82011
157	94870.75614
158	94785.21291
159	94645.89845
160	94511.90774
161	94229.45247
162	94019.012
163	93853.7934
164	93761.48299
165	93598.08722
166	93429.37242
167	93321.30977
168	93228.00256
169	93099.84579
170	92897.43766
171	92722.44818
172	92645.55106
173	92505.76775
174	92368.4163
175	92225.93539
176	92115.98507
177	92001.64036
178	91873.86292
179	91628.60114
180	91532.16505
181	91395.5946
182	91315.19478
183	91137.89987
184	90955.4025
185	90833.68358
186	90748.85863
187	90632.44773
188	90548.00948
189	90450.22507
190	90308.7615
191	90194.46591
192	90098.2414
193	90013.20963
194	89836.47689
195	89668.69444
196	89602.21275
197	89405.93927
198	89256.44805
199	89142.4971
200	89052.28194
201	88927.08513
202	88793.16041
203	88695.99756
204	88596.45099
205	88533.63375
206	88432.17436
207	88274.16935
208	88168.69544
209	88041.67807
210	87917.47501
211	87891.06527
212	87766.75045
213	87599.28103
214	87466.64063
215	87352.30555
216	87231.20311
217	87135.55542
218	87050.35553
219	86914.42451
220	86797.40358
221	86640.22405
222	86562.82863
223	86398.91035
224	86197.4916
225	86074.28013
226	85977.12902
227	85847.63314
228	85725.84868
229	85603.77494
230	85508.26188
231	85417.94577
232	85343.00556
233	85155.63503
234	85060.0646
235	84955.1866
236	84862.29629
237	84727.94873
238	84637.48447
239	84518.58705
240	84355.25082
241	84299.06983
242	84200.45681
243	84009.98183
244	83945.74372
245	83787.19927
246	83658.84938
247	83549.74834
248	83494.63761
249	83359.76555
250	83297.26168
251	83144.26334
252	82996.50469
253	82872.55185
254	82809.76116
255	82717.7904
256	82664.02979
257	82585.05074
258	82512.60011
259	82379.16659
260	82279.59633
261	82263.17301
262	82183.62938
263	82081.12797
264	82005.56503
265	81926.89161
266	81880.62194
267	81826.87598
268	81803.02021
269	81671.78083
270	81535.92032
271	81439.8229
272	81400.40464
273	81317.77318
274	81226.10543
275	81183.83646
276	81088.911
277	81007.48016
278	80927.85911
279	80905.46565
280	80853.08757
281	80675.29877
282	80612.93634
283	80480.84978
284	80459.55798
285	80367.77134
286	80245.4827
287	80231.07738
288	80154.21947
289	80141.72671
290	80024.19887
291	79952.7816
292	79869.58494
293	79801.79986
294	79720.11946
295	79715.49467
296	79709.58341
297	79616.60374
298	79496.20306
299	79441.47949
300	79302.19459
301	79172.74681
302	79167.80376
303	79064.9599
304	78912.73561
305	78835.79271
306	78811.39323
307	78754.27719
308	78613.26082
309	78529.93524
310	78421.8562
311	78416.5347
312	78401.37169
313	78300.52898
314	78211.50682
315	78072.36404
316	77995.37071
317	77935.40906
318	77847.144
319	77784.00364
320	77773.61633
321	77644.38448
322	77640.54611
323	77504.41085
324	77454.21169
325	77356.45414
326	77250.83655
327	77156.46652
328	77032.66202
329	76943.21249
330	76872.03232
331	76767.06182
332	76665.06754
333	76559.95661
334	76555.75443
335	76431.33191
336	76266.51024
337	76195.36232
338	76113.54708
339	76042.36905
340	75948.61475
341	75880.85355
342	75876.87498
343	75785.20911
344	75666.99922
345	75572.75721
