url,property_id,address
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu59037,rbu59037,Franckenstraat 8 001 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu51848,rbu51848,Solvynsstraat 16 101 2018 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu59038,rbu59038,Ossenmarkt 22 301 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu58905,rbu58905,Sint-Elisabethstraat 44 3 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu58979,rbu58979,Turnhoutsebaan 117 5 2100 Deurne
https://immovlan.be/en/detail/studio/for-sale/2018/antwerp/rbu58906,rbu58906,Zonnewijzerstraat 20 24 2018 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu51601,rbu51601,Kruishofstraat 146 8C 2610 Wilrijk
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu51599,rbu51599,Beatrijslaan 4 201 2050 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbu51324,rbu51324,Hollebeekstraat 169 02 2660 Hoboken
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu51066,rbu51066,Bisschoppenhoflaan 287 8 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu51051,rbu51051,Ommeganckstraat 75 1 2018 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu50926,rbu50926,August Vermeylenlaan 23 2050 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu51332,rbu51332,Eksterlaar 41 201 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu51065,rbu51065,Ruggeveldlaan 768 201 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu50861,rbu50861,Maria-Henriëttalei 3 701 2018 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu50788,rbu50788,August Vermeylenlaan 7 2050 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu50580,rbu50580,Turnhoutsebaan 363 401 2140 Borgerhout
